1	the	56271872
2	of	33950064
3	and	29944184
4	to	25956096
5	in	17420636
6	i	11764797
7	that	11073318
8	was	10078245
9	his	8799755
10	he	8397205
11	it	8058110
12	with	7725512
13	is	7557477
14	for	7097981
15	as	7037543
16	had	6139336
17	you	6048903
18	not	5741803
19	be	5662527
20	her	5202501
21	on	5113263
22	at	5091841
23	by	5061050
24	which	4580906
25	have	4346500
26	or	4228287
27	from	4108111
28	this	4015425
29	him	3971997
30	but	3894211
31	all	3703342
32	she	3415846
33	they	3340398
34	were	3323884
35	my	3277699
36	are	3224178
37	me	3027134
38	one	2832569
39	their	2820265
40	so	2802481
